Year,Average wAV
2023,0
2022,0
2020,1
2019,1
2018,5
2017,5
2016,4
2015,6
2014,9
2013,8
2012,8
2011,11
2010,8
2009,15
2008,12
2007,12
2006,7
2005,12
2004,11
2003,16
2002,6
2001,12
2000,3
1998,15
1997,9
1996,16
1995,10
1994,11
1993,8
1992,12
1991,8
1990,6
1989,10
1988,10
1987,18
1985,19
1984,22
1983,12
1982,11
1981,11
1980,7
1979,15
1978,11
1977,14
1976,12
1975,11
1974,13
1973,6
1972,11
1971,10
1970,15
1969,11
1968,5
1966,3
1965,5
1964,2
1962,4
2021,0
1999,17
1986,11
1967,4
1960,2
1963,3
1959,0
1961,2
